"","...1","date","EmployeeStatus","reviewer_id","rating_overall.2.11.","rating_workfamily","rating_culture","rating_diversity","rating_leadership","rating_opportunity","rating_compensation","review_pros","review_cons","ceo_approval","Company"
"35",72,2023-04-20 21:55:40,TRUE,75698572,5,5,3,3,4,4,4,"I have a lot of autonomy in my work and have the chance to shape next generation technologies.","The work environment can be a bit too laid back.","1","Advanced Micro Device"
"36",75,2023-04-23 14:08:07,TRUE,75757072,5,3,5,4,4,3,3,"Culture is good, the pay is sub-optimal","No benefits, no food, just go work and come.","1","Advanced Micro Device"
"37",78,2023-04-24 13:46:31,TRUE,75790808,5,4,4,4,4,4,4,"Smart, friendly people\u002F Very collaborative and inclusive culture\u002F Exciting growth and challenges","Very fast-paced, and can be challenging.","1","Advanced Micro Device"
"38",81,2023-04-28 22:06:51,FALSE,75952217,4,5,5,5,5,4,5,"Supportive work environment, culture, and management","Can be difficult to share thoughts with upper management","1","Advanced Micro Device"
"39",83,2023-04-20 12:12:28,TRUE,75686577,4,5,5,4,5,4,4,"Flexible hours, good team work, working on real projects.","campus gym is good, but not much campus food.","1","Advanced Micro Device"
"40",84,2023-04-20 22:24:19,TRUE,75698997,4,4,5,5,3,5,2,"Great work, Excellent culture, knowledgeable people","low compensation, negligent benefits, management doesn't care much for employee well being","1","Advanced Micro Device"
"41",86,2023-04-24 10:29:43,FALSE,75783452,5,2,3,3,3,3,3,"Stock compensation strong. Interesting work.","Middle of night meetings, pre 8am meetings, weekend work.","1","Advanced Micro Device"
"42",89,2023-03-11 21:28:53,TRUE,74426544,4,1,2,1,2,3,4,"Salary is competitive for the industry.","The most celebrated people in my group are the people are the ones hardest to work with.","1","Advanced Micro Device"
"43",92,2023-03-19 08:49:13,TRUE,74660836,3,4,4,4,5,5,3,"1. Tech-oriented. 2. No much time waste in meetings 3. Good organization and management 4. Able to resolve challenges every day","Underpaid compared to industry average Difficult for promotion Not well-organized internal tools Tasks are hard to work individually","1","Advanced Micro Device"
"44",93,2023-04-17 11:37:54,FALSE,75571764,5,4,4,4,3,3,4,"Great team to work with","Tasks didn't align with my interests","0","Advanced Micro Device"
"45",94,2023-04-16 23:06:48,TRUE,75551501,5,5,5,5,5,5,4,"work life balance good pay","no cons, bonus not good","1","Advanced Micro Device"
"46",95,2023-04-13 19:07:41,TRUE,75480562,1,4,5,4,4,5,4,"Collaborative, Supportive, and Fun environment","Overall semiconductor industry market risk","1","Advanced Micro Device"
"47",96,2023-05-07 13:44:45,TRUE,76195455,5,1,2,2,1,2,2,"Busy, no life after work as you will be working always!!.","Too much politics, no alignment internally","1","Advanced Micro Device"
"48",97,2023-04-10 00:19:40,TRUE,75335616,4,5,5,5,5,5,3,"Work on cool tech that’s revolutionary","There isn’t really an office culture","1","Advanced Micro Device"
"49",98,2023-04-11 13:09:45,TRUE,75393720,5,3,4,4,3,4,3,"people are the best part","does not have proper direction","1","Advanced Micro Device"
"50",99,2023-04-06 08:51:39,TRUE,75256131,5,5,5,5,5,5,5,"WLB Good future Good benefits","Lower salary Not better management Lower bonus","1","Advanced Micro Device"
"51",101,2023-03-04 11:24:12,TRUE,74190091,3,3,3,4,4,4,3,"Huge portfolio and ip makes it possible to learn about many different hardware People are nice and open to chatting about their work","Life work balance depends on your team.","1","Advanced Micro Device"
"52",102,2023-03-27 13:34:04,TRUE,74927955,5,5,5,5,3,3,2,"Good WLB. Good Work culture.","Bad compensation and annual refreshments. Also number of vacation time is very less.","1","Advanced Micro Device"
"53",107,2023-03-16 12:25:40,TRUE,74589732,1,3,4,5,4,5,5,"Big tech, good comp, job security","meetings to boring, lots of bureaucracy, bad wlb.","1","Advanced Micro Device"
"54",108,2023-01-15 15:55:04,TRUE,72647376,1,1,1,1,1,1,2,"Company business is doing great","Work place bullying for new emplyees is normal. Throwing you in fire is the \""way\"" to rampup new engineers and that begins from second week and it's never ending. HR presence is not strong. Most of new joinees are waiting for 1 or 2 years to complete based on the clause in their joining bonus. I met many ex-employees who returned bonus as it was too hard to finish that time period even. You can deduce the quality of experience.","0","Advanced Micro Device"
"55",109,2023-03-22 12:29:23,FALSE,74777762,4,1,1,1,1,1,1,"The coworkers outside of the operations team were great.","Incompetent and unethical management. Zero respect for employees.","0","Advanced Micro Device"
"56",112,2023-03-06 21:50:14,FALSE,74257161,5,3,3,3,3,3,3,"Learn a lot of state of art design.","Working environment is so stressful.","1","Advanced Micro Device"
"57",113,2023-03-03 11:35:03,TRUE,74167770,5,0,0,0,0,0,0,"Exciting projects, good collaboration among peers","Internal systems can be disorganized and hard to find owners","1","Advanced Micro Device"
"58",114,2023-01-16 16:35:30,FALSE,72681442,5,5,5,5,5,5,5,"Very good culture and impressive innovation.","Not exactly a con. But unfortunately people thinks that AMD it's below intel and Nvidia, and that's totally false, 100% false, that's not true. Even i think that the people that works today in amd it's better than in those parts.","1","Advanced Micro Device"
"59",115,2023-02-27 18:29:29,TRUE,74037578,5,5,5,5,5,5,2,"Management is very supportive for new grads","Compensation can be much better.","1","Advanced Micro Device"
"60",116,2023-02-27 19:22:22,TRUE,74038803,5,5,5,5,5,5,5,"good work culture and learning experience","can have better pay based on market standards","1","Advanced Micro Device"
"61",118,2022-12-16 16:58:12,FALSE,71929542,5,1,5,5,2,4,4,"Great Company Culture Great Benefits Good pay Promotes Personal Growth","Bad Work\u002FLife balance Discouraging Managers Lack of clear communication within teams","1","Advanced Micro Device"
"62",122,2023-01-12 06:50:06,TRUE,72558478,3,3,4,3,3,4,4,"AMD is a solid 7\u002F10 place to work. Certain teams are busier than others, but the work is sustained and interesting, and the pay\u002Fbennies are good.","Could be more generous with time off and other perks that similar tech companies offer like extra PTO, sabbatical, free meals","1","Advanced Micro Device"
"63",123,2023-01-18 19:41:00,TRUE,72766469,3,2,3,4,3,3,4,"Co-workers Company performance Driven CEO Products","Lack of internal tools to support your role Average players rewarded equal to top performance Management capabilities","1","Advanced Micro Device"
"64",124,2023-01-07 05:37:41,FALSE,72402448,3,3,5,4,3,4,1,"Very open work culture, can learn things from many different teams and workflows. No restrictions on getting information from other places. Not at all silo'd.","Very low pay. Absolutely no benefits for Interns.","1","Advanced Micro Device"
"65",125,2023-01-23 09:07:10,FALSE,72897999,5,3,4,5,5,4,3,"Areas of opportunities across departments.","Working in the office. I wish they were more flexible with work from home.","1","Advanced Micro Device"
"66",126,2023-02-08 17:28:52,TRUE,73453231,3,3,5,5,4,5,5,"Nice work\u002Flife balance and compensation.","Very competitive, fast-paced, state-of-the-art technology research and development.","1","Advanced Micro Device"
"67",128,2023-01-30 06:17:42,FALSE,73126989,4,2,3,2,4,3,4,"Excellent strategic vision on the part of senior leaders","tendency to undervalue employee development","1","Advanced Micro Device"
"68",131,2022-07-25 19:23:11,TRUE,67142637,4,5,5,5,5,4,5,"My co-workers are bright, friendly, collaborative, hard-working, and genuine.  This is a place where you are encouraged to make decisions and take action, even if it is a mistake and you have to course correct.   I have ownership of my business area and the freedom to drive improvements.  Our CEO, Lisa Su, makes strategic investments and other decisions that gives me great confidence in the future of the company.  Compensation is very competitive.","This is a fast growning company.  So we are suffering through the normal growing pains that happen as we transform our business to meet that growth.","1","Advanced Micro Device"
"69",142,2022-10-14 16:52:07,TRUE,70161648,4,4,5,5,5,5,4,"AMD has a great culture and some of the smartest individuals in the industry.","Workload can be stressful at times. Recognitions are somewhat limited to design engineers since they are the money makers for the company. Other critical supporting departments are often overlooked.","1","Advanced Micro Device"
"70",144,2022-11-20 20:58:33,TRUE,71252844,4,3,4,4,4,4,2,"Will get a chance to work on latest technology and products. Good roadmap and visibility Growing company and wide market share.","Not a great Salary compared to peers in the same domain Not many perks\u002Fbenefits High Attrition","1","Advanced Micro Device"
"71",145,2022-12-22 18:05:23,FALSE,72078088,5,3,3,3,3,4,2,"Do real work and see product in market","Uncompetitive compensation package, not good stock option plan","1","Advanced Micro Device"
"72",146,2022-12-12 20:34:59,TRUE,71810217,3,5,5,5,5,5,5,"Flexibile Hours, Great Pay\u002FBenefits, Challenging Work, Career Opportunities\u002FAdvancements","One thing to improve on would be being able to stack vacation time","1","Advanced Micro Device"
"73",147,2022-12-14 23:48:02,TRUE,71878044,4,4,3,3,3,4,3,"Load depends on the team you work Lot of legacy","Bureaucracy Due to legacy less innovation","1","Advanced Micro Device"
"74",148,2022-11-27 21:18:39,TRUE,71424630,5,1,5,5,3,4,3,"Benefits, Some novel projects and industry leading innovation","Too much work, uneven periods of too much work and no work","1","Advanced Micro Device"
"75",156,2022-10-09 20:53:43,TRUE,69950733,5,5,5,5,5,5,5,"Communication, Salary, Assistance, Compassion, Caring","I have no cons to list","1","Advanced Micro Device"
"76",157,2022-09-07 08:00:19,TRUE,68802742,4,4,4,4,5,4,4,"Technical Executives, to the point, no BS mentality.\nMy teammates trusted me from day one and were always helpful and humble.","Growing very fast, adding more layers of burocracy","1","Advanced Micro Device"
"77",164,2022-10-19 19:08:54,TRUE,70321398,5,5,5,5,5,5,5,"- flexible scheduling - open to employees working from home - great benefits (health insurance, retirement plan, etc.) - regular tech talks (both intra-company and from academia)","- no company-wide exposition of the innovation taking place within the different organizations","1","Advanced Micro Device"
"78",166,2022-11-21 17:32:22,TRUE,71282042,4,5,5,5,4,5,4,"Nice people, collaborative, good communication from management","the work load can be hectic at times","1","Advanced Micro Device"
"79",167,2022-11-21 12:31:03,TRUE,71274792,3,4,5,5,4,4,3,"Great team, challenging projects, supportive managers","lots of layoffs and low salary","1","Advanced Micro Device"
"80",169,2021-12-29 18:46:16,FALSE,57215982,3,1,1,2,1,3,2,"1) Smart and friendly coworkers\n2) Ambitious environment\n3) Wages aren't *too* far below the standard\n4) Vacation days exist","1) Great work-life balance... if you live to work, hate your family, and have no hobbies\n2) Managers are on your side... if you are willing to serve as their internal politics meat shield\n3) You can look forward to consistent raises and promotions... a year or two after you make yourself deserving of them\n4) The company gives everyone year-round \""recharge days\""... taken out of your regular vacation time\n\nOh yeah, basically everyone there is White or Asian\u002FIndian. I think I've seen at most one or two token Black or LGBTQ+ people in the entire office, and they don't really stay around for long. So much for diversity and inclusion.","0","Advanced Micro Device"
"81",171,2022-08-24 07:40:50,TRUE,68288592,3,3,3,3,2,4,4,"Great rank and file employees. Culture is collaborative with very smart people. Work is very interesting.","Unfortunately, AMD allows (and promotes) bullies at the VP level and above. While most of the executives (including the CEO) are great, some key executive roles have these toxic personalities that impact the overall culture.","1","Advanced Micro Device"
"82",172,2022-11-19 22:42:56,TRUE,71235999,4,1,1,3,1,2,3,"Data center outlook is good","Too many dead wood and politics","1","Advanced Micro Device"
"83",173,2022-10-09 10:42:27,TRUE,69939855,4,3,3,3,4,5,4,"Amazing hard working team that helps you grow. A company that has improved their products so much and are on the way up.","Very much a grind culture.","1","Advanced Micro Device"
"84",174,2022-11-16 22:12:52,FALSE,71155029,4,4,4,4,4,4,4,"Good work culture. Great projects.","Not so many cons there","1","Advanced Micro Device"
"85",177,2022-10-12 10:16:36,TRUE,70067359,2,3,3,5,5,5,3,"WLB dependent on team Work growth dependent on team","Very less pay compared to competitors","1","Advanced Micro Device"
"86",184,2022-09-02 17:30:00,TRUE,68658462,3,0,0,0,0,0,0,"Great pay and overall benefits","Very toxic culture. Completely disorganized company, poor management, poor communication, very poor IT infrastructure","0","Advanced Micro Device"
"87",188,2022-09-13 16:54:46,TRUE,69022504,5,5,5,4,5,4,4,"Good CEO.  Good benefits.  Decent pay","Long hours \nAggressive schedules\nToo many program managers","1","Advanced Micro Device"
"88",193,2022-09-06 07:05:06,TRUE,68757271,3,5,5,5,5,5,5,"Great place to work with people motivated to find ways to succeed","No major downsides from my viewpoint","1","Advanced Micro Device"
"89",194,2022-08-20 02:27:49,FALSE,68131822,5,0,0,0,0,0,0,"The best people to work with.!","Very political, when you are liked visibility is great, when someone doesn’t like you getting your job done becomes quite difficult.","1","Advanced Micro Device"
"90",195,2022-08-23 06:28:59,TRUE,68234980,5,5,5,5,4,5,4,"Get culture, flexible timing, friendly management","Feels like less salary as compared to Austin","1","Advanced Micro Device"
"91",196,2022-09-13 09:55:38,TRUE,69007917,3,5,5,5,5,5,5,"Great roadmap, leadership team and execution","Work Life balance  can be tricky","1","Advanced Micro Device"
"92",202,2022-08-23 12:16:40,TRUE,68251055,5,5,5,5,5,5,5,"Excellent benefits and environment and salary","None that I can think of","1","Advanced Micro Device"
"93",203,2022-08-16 20:52:32,TRUE,67995709,3,5,4,4,5,5,4,"still in rapid growth period especially HPC and data center","benefit is average comparing to peer companies","1","Advanced Micro Device"
"94",204,2022-07-20 11:47:26,TRUE,66941215,4,5,5,5,2,4,2,"good work-life balance. My Org has a culture of empathy.","they don't pay well. They aren't many incentives\u002Fperks","1","Advanced Micro Device"
"95",205,2022-07-20 14:57:49,TRUE,66949365,5,2,4,4,4,4,4,"Good portafolio of products, Improving the salaries for the new hires","Atrittion, slow hiring process,  stress, more responsibilities that you can handle due to the lack of people","1","Advanced Micro Device"
"96",207,2022-08-18 08:13:52,FALSE,68065486,3,4,4,4,3,4,1,"Good work life balance\nGreat learning","Terrible promotions\nYou work isn’t recognized or appreciated","1","Advanced Micro Device"
"97",208,2022-08-23 12:37:36,TRUE,68252008,4,2,3,4,3,5,2,"Real projects to work on.","No real plan in place for interns.","1","Advanced Micro Device"
"98",209,2022-08-11 13:09:45,TRUE,67815727,3,5,5,4,4,5,4,"Love the challenging work and the people","Office in Boston is kind of far from the city","1","Advanced Micro Device"
"99",212,2022-08-15 10:53:18,TRUE,67928129,5,5,5,5,5,5,4,"Good work life balance and work","Should give More work to interns","1","Advanced Micro Device"
"100",213,2022-08-11 15:21:52,TRUE,67819958,5,5,5,5,5,5,5,"Good work life balance for me","High pressure, but not too bad","1","Advanced Micro Device"
"101",214,2022-08-02 20:42:41,TRUE,67464879,2,3,5,5,4,4,4,"- well-paid\n- insurance\n- stock option","- There might not be a work-life balance \n-","1","Advanced Micro Device"
"102",215,2022-01-13 08:09:17,TRUE,57868018,4,2,3,4,1,3,1,"Great growth of company\nGood stock growth \nGreat revenue","- No benefits or bonus passed down to employees in Covid time \n- No time off for covid relief, we need to use our own PTO for our reliefs on AMD specified days when others are providing multiple days\n- Record year of 2021 and not benefits are passed onto employees\n- Pay not adjusted, more of going backwards starting 2022\n- Resources are jumping ship and unable to retain with added work on existing employees","0","Advanced Micro Device"
"103",216,2022-03-10 19:35:24,TRUE,60955879,4,3,4,4,3,5,4,"-Lots of very smart and friendly folks, great mentorship\r\n-Competitive salaries\r\n-Abundant opportunities for growth if you are willing to put in the time and effort","-Work\u002Flife balance has slowly degraded over the last few years. This is largely due to acceleration of project schedules, combined with a lack of investment in new resources\r\n-Annual bonuses + wage adjustments feel somewhat lacking despite AMD's recent growth and success","1","Advanced Micro Device"
"104",217,2022-07-06 10:17:41,TRUE,66366659,5,4,4,4,3,4,4,"Relative good benefits (401K, health insurance)\nWork from home or from office is flexible\nTrainings are available to improve your knowledge","Lack of transparency in annual reviews\nExpensive cafeteria (food is not free)","1","Advanced Micro Device"
"105",218,2022-06-13 21:24:51,TRUE,65494829,3,4,5,4,5,4,4,"I have found AMD to be a good place to work.  Good culture and a place where most people are willing to help want to do the right thing.","Recent high growth rate has left us less than perfectly organized.","1","Advanced Micro Device"
"106",219,2022-05-19 11:51:11,FALSE,64394601,5,4,5,5,3,4,2,"Good work life balance. \nFast growing company \ngood benefits","Boring work. \nUse it or lose it pto. \nLow base salary. \n\n.","1","Advanced Micro Device"
"107",227,2022-05-19 08:02:08,FALSE,64382128,3,5,5,5,5,5,5,"Great people to work with.","I long drive from my house but worth it.","1","Advanced Micro Device"
"108",232,2022-05-08 18:08:11,TRUE,63827135,3,4,5,5,4,5,5,"Team Culture, Recognition, and Innovation","Some of the Benefits could be better","1","Advanced Micro Device"
"109",237,2022-05-10 22:09:42,TRUE,63952587,5,5,4,5,5,5,5,"Smaller teams easy to grow","IT support is non existent","1","Advanced Micro Device"
"110",238,2022-05-04 19:11:13,TRUE,63673101,5,5,5,5,3,5,1,"work life balance is great","compensation is not so great","1","Advanced Micro Device"
"111",239,2022-04-26 16:25:08,TRUE,63311690,5,5,5,5,5,5,5,"I love AMD and working for the company.","I don't see many cons to being an AMDer.","1","Advanced Micro Device"
"112",241,2022-04-09 06:46:55,TRUE,62528831,5,5,5,5,5,4,4,"CEO Lisa Su is a fantastic leader, easy to trust her guidance and is positioning the company to be an industry leader for years to come.","Cons you would typically assume in a company experiencing high growth. A lot of things to be working on!","1","Advanced Micro Device"
"113",242,2022-05-22 18:02:31,TRUE,64517227,4,4,5,5,5,5,5,"Not much to say but great work places, good benefit and overall great place to work","Could be overload for newcomer","1","Advanced Micro Device"
"114",246,2022-05-18 21:44:37,TRUE,64358934,5,3,4,4,3,4,5,"A great place to work if you enjoy working on your own hours.","There is no rigid structure. Not a 9-5 job.","1","Advanced Micro Device"
"115",247,2022-05-16 13:51:35,TRUE,64217627,4,5,5,4,4,4,2,"Good culture, work life balance, team work and transparency","Low compensation for long-time employees","1","Advanced Micro Device"
"116",248,2022-05-30 07:50:26,FALSE,64854110,3,4,3,3,5,4,4,"OK company in the last five years","No much concern with the management","1","Advanced Micro Device"
"117",251,2022-05-25 09:15:31,TRUE,64665137,5,4,5,5,4,5,4,"A lot of very smart people, good benefits","Total compensation is slightly below market","1","Advanced Micro Device"
"118",255,2021-12-03 05:20:46,TRUE,56179447,4,2,2,4,5,2,4,"Great company and fantastic products. Senior leadership is doing an excellent job. Used to be a fantastic culture","Now hiring a bunch of ex and current Intel people. The AMD culture is leaving the building. Hiring leaders instead of workers. There are already too many VPs doing not much.","1","Advanced Micro Device"
